position,name,category,rating,email,website,address,instagram,facebook,whatsapp,twitter,hours,isOpenNow,profileUrl,scrapedAt
19,Llantera Rios,Taller de reparación de motos,3.7,,,"44450, Analco, 44450 Guadalajara, Jal.",,,,,,,"https://www.google.com/maps/place/Llantera+Rios/@20.6254073,-103.4593725,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428b1047edb35c9:0x7d824c5480e56f1b!8m2!3d20.6692313!4d-103.33849!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb1ohIh9sbGFudGVyYSBlbiBndWFkYWxhamFyYSBtw6l4aWNvkgEWbW90b3JjeWNsZV9yZXBhaXJfc2hvcJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOd2JVOWhjM2xCUlJBQuABAPoBBAgAECA!16s%2Fg%2F11gm8pr_17?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:31:13.248Z
20,Llantera Muñoz,Taller de automóviles,4.3,,,"Av. Manuel Ávila Camacho 1135, Mezquitan, 44260 Guadalajara, Jal.",,,,,,,"https://www.google.com/maps/place/Llantera+Mu%C3%B1oz/@20.6254073,-103.4593725,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428b1dbb76f94ef:0x44500fad4d9647f9!8m2!3d20.6968008!4d-103.3512919!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb1ohIh9sbGFudGVyYSBlbiBndWFkYWxhamFyYSBtw6l4aWNvkgEKY2FyX3JlcGFpcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOd09YUjVZMFJCRUFF4AEA-gEECAAQNQ!16s%2Fg%2F1pv1ntwzs?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:31:13.790Z
21,7 Llantas - Gante,Servicio de alquiler de coches,4.8,,https://www.7llantas.com/,"C. Gante 356, Las Conchas, 44460 Guadalajara, Jal.",,,,,,,"https://www.google.com/maps/place/7+Llantas+-+Gante/@20.6254073,-103.4593725,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428b21e81749a41:0x68620b75588aedae!8m2!3d20.6629892!4d-103.3411522!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb1ohIh9sbGFudGVyYSBlbiBndWFkYWxhamFyYSBtw6l4aWNvkgEQdGlyZV9yZXBhaXJfc2hvcJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSdWFHWXlTa0pCRUFF4AEA-gEECAAQNA!16s%2Fg%2F11hzxj7lw4?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:31:16.026Z
22,Universal de Llantas City Tire,Tienda de neumáticos,4.5,ventas@llantascitytire.com,http://citytire.com.mx/,"Av. Lapizlazuli 2597 Esq, Calle Litoral, Victoria, 44560 Guadalajara, Jal.",,,,,,,"https://www.google.com/maps/place/Universal+de+Llantas+City+Tire/@20.6968008,-103.4275096,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428adc7ccb068d3:0xb11a82d5dfa2af18!8m2!3d20.6415399!4d-103.3923527!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb1ohIh9sbGFudGVyYSBlbiBndWFkYWxhamFyYSBtw6l4aWNvkgEJdGlyZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5TWDJKTVQxQlJFQUXgAQD6AQQIABA0!16s%2Fg%2F1ptwxvr56?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:31:18.857Z
23,TERSA Llantas Expo,Tienda de neumáticos,4.3,manuel.olivas@grupotersa.com.mx,https://cotiza.tersallantas.com/Buscar-Talleres/Tersa-Llantas-Expo/?utm_source=Google&utm_medium=organic&utm_campaign=Yext_GMB&utm_content=LDS&utm_term=Yext_GMB,"Av. Mariano Otero 3315, Verde Valle, 44550 Guadalajara, Jal.",https://instagram.com/tersallantasoficial,https://facebook.com/tersallantasoficial,5216647604875,https://twitter.com/tersallantas,,,"https://www.google.com/maps/place/TERSA+Llantas+Expo/@20.6415399,-103.4685704,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428ad76fe187c03:0xaf4aa9b24c261cfc!8m2!3d20.6523108!4d-103.3953929!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb1ohIh9sbGFudGVyYSBlbiBndWFkYWxhamFyYSBtw6l4aWNvkgEJdGlyZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU4xZHpadE0wUm5FQUXgAQD6AQQIABAh!16s%2Fg%2F11gk8vb06s?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:31:20.040Z
24,Llantera Loza,Tienda de neumáticos,4.6,,http://www.facebook.com/llanteraloza,"Av Río Nilo 3619-A, Jardines de Los Historiadores, 44820 Guadalajara, Jal.",,,,,,,"https://www.google.com/maps/place/Llantera+Loza/@20.6415399,-103.4685704,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428b394fdc5635f:0xdb548318be2e9991!8m2!3d20.644638!4d-103.2864!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb1ohIh9sbGFudGVyYSBlbiBndWFkYWxhamFyYSBtw6l4aWNvkgEJdGlyZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU40T0V0bFZGcFJFQUXgAQD6AQQIXhBK!16s%2Fg%2F1ptvrl3kw?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:31:21.311Z
25,Llantera Simon y simon,Taller de automóviles,4.5,,,"Av. de los Maestros 2015, Villaseñor, 44600 Guadalajara, Jal.",,,,,,,"https://www.google.com/maps/place/Llantera+Simon+y+simon/@20.644638,-103.3626177,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428af244b06c61d:0x5d07de8bdfd6b711!8m2!3d20.6935581!4d-103.3684301!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb1ohIh9sbGFudGVyYSBlbiBndWFkYWxhamFyYSBtw6l4aWNvkgEKY2FyX3JlcGFpcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOU2NYTmlXbmxSUlJBQuABAPoBBAgAEB8!16s%2Fg%2F11jy7yjx71?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:31:21.867Z
26,Llantera El Chiles,Tienda de neumáticos,4.6,,,"C. Álvaro Obregón 1299, La Penal, 44380 Guadalajara, Jal.",,,,,,,"https://www.google.com/maps/place/Llantera+El+Chiles/@20.644638,-103.3626177,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428b3d9db86149d:0x39b4ffbfcbb15fd4!8m2!3d20.6677231!4d-103.3175069!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb1ohIh9sbGFudGVyYSBlbiBndWFkYWxhamFyYSBtw6l4aWNvkgEJdGlyZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5VTW1OZmVGQm5FQUXgAQD6AQQIABA9!16s%2Fg%2F11j6l0c8j1?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:31:22.441Z
27,Llantera EL Gallo,Tienda de neumáticos,4.8,,,"C. Mexicaltzingo 1780, Col Americana, Americana, 44160 Guadalajara, Jal.",,,,,,,"https://www.google.com/maps/place/Llantera+EL+Gallo/@20.6935581,-103.4446478,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428ae0136a17855:0x740d302d01b864a7!8m2!3d20.6685275!4d-103.3641623!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb1ohIh9sbGFudGVyYSBlbiBndWFkYWxhamFyYSBtw6l4aWNvkgEJdGlyZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJuTFdWeE4xTjNFQUXgAQD6AQQIABA2!16s%2Fg%2F11bvvzw69j?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:31:22.792Z
28,LLANTAS JALISCO,Tienda de neumáticos,3.6,llantasjalisco1@gmail.com,https://m.facebook.com/llantasjalisco/?locale2=es_LA,"Calz. del Federalismo Sur #810, Moderna, 44170 Guadalajara, Jal.",,https://facebook.com/llantasjalisco,,,,,"https://www.google.com/maps/place/LLANTAS+JALISCO/@20.6935581,-103.4446478,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428af02bceaaaab:0x47e39f7105e5f97d!8m2!3d20.6647745!4d-103.3562526!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb1ohIh9sbGFudGVyYSBlbiBndWFkYWxhamFyYSBtw6l4aWNvkgEJdGlyZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ3Tms5SVprNVJFQUXgAQD6AQQIABAt!16s%2Fg%2F11h3_jgzjk?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:31:24.551Z
29,Llantera móvil chava,,5,,,"Libertad 1445, Col Americana, Americana, 44160 Guadalajara, Jal.",,,,,,,"https://www.google.com/maps/place/Llantera+m%C3%B3vil+chava/@20.6935581,-103.4446478,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428b1befb457601:0x9297d26b569d3ea2!8m2!3d20.671527!4d-103.3583701!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb1ohIh9sbGFudGVyYSBlbiBndWFkYWxhamFyYSBtw6l4aWNvkgEQdGlyZV9yZXBhaXJfc2hvcJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNMWFUZHRabTlSUlJBQuABAPoBBAgAEDI!16s%2Fg%2F11vcmd954v?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:31:25.088Z
30,RADIAL LLANTAS Lázaro Cárdenas,Tienda de neumáticos,4.5,hola@radial.com.mx,https://www.radialllantas.com/,"Calz. Lázaro Cárdenas 2107, Las Torres, 44920 Guadalajara, Jal.",https://instagram.com/radial_llantas,https://facebook.com/RadialLlantasmx,5591560400,https://twitter.com/RadialLlantas,,,"https://www.google.com/maps/place/RADIAL+LLANTAS+L%C3%A1zaro+C%C3%A1rdenas/@20.6935581,-103.4446478,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428ae0ba2e331dd:0xbcf0b3c5c6c1aa!8m2!3d20.654125!4d-103.374954!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb1ohIh9sbGFudGVyYSBlbiBndWFkYWxhamFyYSBtw6l4aWNvkgEJdGlyZV9zaG9wmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4c1NGWnVRa3BSYkVWMFdrUlJkMVJ1VGtKVmVrWmFVMVZzY0Zrd1JSQULgAQD6AQQIABBG!16s%2Fg%2F1tk237lq?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:31:26.038Z
